id,pedido_id,producto_id,cantidad,precio_unitario
1,1544,494,3,1894.12
2,3745,41,3,3883.44
3,1318,543,4,4196.16
4,2934,720,1,2725.48
5,4532,593,4,2899.6
6,2366,463,4,2890.28
7,160,265,5,2180.0
8,4184,795,1,3821.08
9,3849,52,2,4121.72
10,3503,234,1,2729.66
11,5544,646,3,3768.27
12,3874,610,1,604.25
13,4387,616,2,2338.16
14,5189,27,1,969.82
15,3092,202,1,3409.12
16,5287,114,4,2493.23
17,4470,289,2,2545.71
18,1383,665,5,1465.07
19,1314,62,2,3142.56
20,1070,693,3,4107.28
21,3161,784,2,3594.86
22,5693,112,3,2237.06
23,4166,653,5,3714.83
24,2058,219,2,515.01
25,5075,664,5,912.48
26,4146,38,1,1702.41
27,1149,745,4,1897.6
28,2767,55,3,2899.46
29,3757,37,5,3141.04
30,5727,120,3,2460.37
31,47,686,3,1033.01
32,3380,640,4,2097.68
33,2781,445,5,2805.74
34,4782,417,1,3240.98
35,1093,798,1,1656.95
36,24,256,1,3917.52
37,4571,56,2,3807.05
38,3707,611,2,3061.97
39,746,219,2,375.44
40,379,790,4,603.7
41,2749,612,5,2186.38
42,1660,761,5,1979.83
43,4996,328,2,2422.24
44,3551,55,3,1573.94
45,5463,151,3,4081.73
46,1305,702,2,2141.34
47,107,42,2,938.13
48,2872,290,3,2415.39
49,5389,674,5,1253.68
50,3427,300,5,3373.32
51,2406,75,2,847.75
52,5781,620,2,3446.73
53,4257,264,2,3327.01
54,5384,359,2,2166.73
55,2132,705,1,4100.24
56,779,270,2,2138.11
57,5144,70,1,741.77
58,5030,274,2,3035.08
59,3054,98,1,918.34
60,3585,183,5,3518.9
61,2786,276,5,4189.28
62,1026,661,2,3495.4
63,170,459,1,758.29
64,5082,461,4,889.34
65,5951,392,1,3186.14
66,517,524,3,768.4
67,1921,206,5,2092.36
68,1474,552,1,459.93
69,3828,122,5,3228.95
70,3969,721,2,3269.37
71,1555,184,1,769.19
72,5576,75,2,1402.26
73,2587,109,1,3693.69
74,5187,785,1,523.35
75,3816,214,2,3874.73
