id,cliente_id,fecha,estado,total
1,784,2024-07-01,entregado,4018.13
2,1254,2024-01-24,enviado,827.92
3,1496,2025-04-15,enviado,4032.24
4,774,2025-02-02,entregado,239.66
5,906,2025-12-16,pagado,334.92
6,889,2024-07-16,pendiente,1801.17
7,1819,2025-03-25,pendiente,1919.66
8,51,2025-09-10,pagado,2943.68
9,321,2024-03-26,pendiente,2656.84
10,1155,2025-02-06,cancelado,1279.68
11,1879,2026-02-25,cancelado,2832.44
12,684,2024-04-28,pendiente,523.23
13,658,2024-09-27,pagado,2565.05
14,680,2026-01-31,cancelado,82.13
15,1743,2024-10-12,pendiente,630.77
16,1064,2024-03-15,enviado,1573.66
17,1930,2025-01-04,enviado,2896.52
18,859,2024-01-10,cancelado,2321.57
19,425,2024-07-08,pagado,582.29
20,1283,2024-10-04,enviado,4096.42
21,833,2025-08-31,pendiente,1797.48
22,1185,2024-01-28,enviado,3708.74
23,1424,2025-07-29,pagado,3336.96
24,1413,2024-01-20,pagado,3702.45
25,534,2025-04-22,pendiente,1771.34
26,1117,2024-07-11,cancelado,311.79
27,1037,2024-03-11,entregado,1215.78
28,700,2024-09-24,enviado,3192.76
29,1323,2026-02-14,enviado,1862.96
30,1592,2024-11-15,entregado,3728.15
31,52,2026-02-24,pendiente,2220.88
32,779,2025-08-28,entregado,2038.76
33,94,2024-11-05,enviado,4016.03
34,606,2025-11-30,enviado,3925.97
35,8,2026-01-26,entregado,1264.86
36,295,2025-08-31,entregado,3231.15
37,1430,2024-02-02,enviado,2039.04
38,73,2024-06-29,enviado,3454.4
39,606,2024-09-15,cancelado,1484.46
40,744,2024-10-19,entregado,2585.27
41,221,2025-01-26,cancelado,1422.4
42,550,2026-02-05,pendiente,3441.56
43,1184,2024-10-06,pendiente,60.02
44,1611,2025-03-18,pendiente,898.21
45,1393,2024-09-09,cancelado,2430.9
46,1823,2024-04-08,entregado,2607.59
47,1376,2025-03-10,pendiente,1309.01
48,541,2024-07-10,cancelado,3263.12
49,1168,2024-08-30,pagado,3248.38
50,1925,2025-05-24,entregado,68.7
51,1321,2024-02-21,pagado,1515.08
52,196,2024-11-27,entregado,4022.99
53,1376,2025-01-07,pendiente,2244.28
54,659,2024-06-06,entregado,3271.35
55,641,2026-03-07,entregado,2266.18
56,1030,2025-03-13,pendiente,1849.96
57,966,2025-08-31,enviado,3273.33
58,1054,2025-04-05,entregado,2144.34
59,7,2024-09-26,enviado,577.07
60,1904,2024-07-03,cancelado,2834.74
61,60,2024-11-08,cancelado,2904.76
62,1273,2024-01-08,cancelado,1659.28
63,1152,2024-12-04,pendiente,4146.29
64,671,2024-09-28,cancelado,2722.15
65,889,2025-01-05,entregado,2772.51
66,366,2025-06-29,pendiente,2751.99
67,356,2025-09-06,cancelado,2633.21
68,349,2024-05-15,enviado,383.2
69,1485,2026-01-05,entregado,1034.58
70,1139,2024-03-26,pendiente,3728.57
71,643,2025-10-02,enviado,1548.09
72,1243,2025-09-14,entregado,487.02
73,782,2025-07-01,pagado,4187.56
74,1643,2025-08-08,entregado,2222.07
75,1521,2024-07-09,pendiente,2594.32
76,1331,2025-02-20,entregado,3091.94
77,32,2024-12-25,cancelado,4010.99
78,1375,2025-08-31,entregado,3854.53
79,72,2024-05-08,entregado,3838.86
80,1855,2025-05-12,cancelado,3991.37
81,630,2025-12-26,cancelado,2035.96
82,175,2026-01-23,cancelado,2725.9
83,991,2025-06-18,cancelado,2301.57
84,546,2024-02-29,pendiente,2581.35
85,403,2024-12-06,entregado,1258.69
86,1236,2024-07-19,pendiente,4011.76
87,485,2025-08-09,entregado,3924.21
88,1278,2024-01-13,pendiente,2921.92
89,36,2026-01-12,pagado,3091.05
90,1696,2024-11-22,entregado,2679.53
91,573,2025-11-14,entregado,959.53
92,1595,2025-11-12,pendiente,2938.71
93,495,2025-11-27,pagado,1800.62
94,648,2024-02-08,pagado,1858.7
95,800,2024-09-08,enviado,3736.53
96,1072,2024-10-05,pagado,2415.22
97,177,2024-07-23,pagado,2216.75
98,1396,2025-09-30,cancelado,36.01
99,1599,2024-10-07,enviado,1658.03
100,47,2026-02-27,enviado,4079.42
101,528,2024-05-17,pendiente,3439.85
102,388,2024-12-30,entregado,4189.37
103,5,2026-01-17,enviado,2418.63
104,1243,2024-05-04,enviado,4158.8
105,367,2025-06-20,entregado,3802.52
106,374,2024-01-11,cancelado,761.64
107,467,2024-01-21,pagado,2408.14
108,1918,2025-02-19,cancelado,1742.55
109,1631,2024-05-31,entregado,83.91
110,470,2024-04-23,cancelado,2615.23
111,1301,2025-07-13,entregado,2693.54
112,907,2026-03-08,cancelado,1146.76
113,1180,2025-12-04,entregado,527.74
114,875,2025-10-07,pendiente,3688.41
115,204,2025-04-12,pendiente,2000.09
116,1502,2024-05-07,entregado,3316.53
117,1884,2024-11-30,enviado,1881.6
118,56,2024-03-26,entregado,1247.64
119,749,2024-10-05,entregado,1985.15
120,1807,2025-08-21,cancelado,747.43
121,1350,2025-03-01,enviado,3864.45
122,893,2025-04-17,entregado,3044.57
123,456,2024-11-27,pagado,1898.26
124,1488,2025-09-04,pendiente,1768.67
125,308,2025-06-20,entregado,1882.76
126,545,2025-08-14,pagado,1513.4
127,184,2025-11-04,pendiente,1273.55
128,1393,2024-03-29,pagado,1755.46
129,447,2025-11-09,pagado,677.26
130,825,2026-03-06,entregado,3992.72
131,544,2024-08-06,entregado,3659.7
132,665,2024-03-12,entregado,554.42
133,938,2025-10-27,entregado,351.5
134,1219,2024-08-22,cancelado,1331.34
135,922,2025-07-24,pagado,3234.61
136,1895,2024-07-16,cancelado,1693.66
137,326,2026-02-08,enviado,179.31
138,312,2025-04-21,pendiente,764.46
139,661,2026-02-12,entregado,441.8
140,523,2024-08-08,enviado,3897.87
141,1633,2024-05-22,cancelado,3948.59
142,1533,2024-08-10,pendiente,87.16
143,1168,2025-09-26,pagado,579.46
144,1103,2024-06-16,cancelado,2192.67
145,39,2024-08-09,pendiente,2922.3
146,833,2024-01-24,pagado,2118.35
147,110,2026-02-27,pagado,3593.87
148,1897,2025-03-08,enviado,576.67
149,766,2025-10-30,pagado,3988.97
150,718,2025-05-01,enviado,4149.79
151,308,2024-01-29,pagado,383.26
152,622,2025-09-06,pendiente,899.67
153,655,2025-09-06,pendiente,3974.1
154,1025,2025-11-03,pendiente,1420.84
155,976,2024-06-24,pendiente,3554.8
156,252,2024-03-06,cancelado,2952.48
157,1865,2025-06-25,pendiente,744.11
158,391,2026-01-09,pendiente,3709.54
159,10,2025-09-16,enviado,554.4
160,633,2025-12-27,pendiente,3751.34
161,330,2025-08-18,pagado,842.93
162,1714,2025-12-15,enviado,1776.73
163,539,2024-01-21,pagado,2800.14
164,1118,2024-11-26,entregado,618.69
165,217,2025-12-27,pendiente,3486.94
166,1447,2025-04-05,pagado,3693.23
167,1033,2024-10-25,pendiente,369.9
168,966,2026-01-09,pagado,512.46
169,1031,2025-11-23,entregado,1607.29
170,22,2024-05-22,enviado,3432.3
171,31,2025-04-16,cancelado,294.13
172,857,2025-08-27,cancelado,1192.88
173,1678,2025-11-11,pagado,3065.39
174,571,2025-11-23,entregado,1373.09
175,461,2024-09-21,pendiente,630.89
176,400,2025-03-01,pendiente,214.75
177,1027,2024-12-12,entregado,3945.19
178,890,2025-05-06,entregado,1264.97
179,1631,2025-04-06,enviado,2438.15
180,371,2026-01-19,pagado,3629.05
181,826,2025-03-31,entregado,1097.34
182,128,2024-07-28,pendiente,3763.77
183,1184,2025-04-23,entregado,4186.24
184,20,2026-01-29,cancelado,258.33
185,711,2024-01-31,cancelado,2595.74
186,1692,2025-06-19,cancelado,2303.36
187,181,2025-12-03,enviado,2504.21
188,706,2025-01-12,pagado,703.53
189,1298,2025-05-18,entregado,363.9
190,1043,2024-03-17,cancelado,646.95
191,83,2024-08-14,pagado,1872.84
192,1747,2025-09-28,entregado,1726.76
193,1635,2025-08-09,pendiente,3562.81
194,859,2025-04-09,pendiente,1175.71
195,1126,2025-08-24,pendiente,379.04
196,1978,2025-08-14,enviado,3393.27
197,1690,2025-11-29,enviado,1907.27
198,864,2025-12-04,pagado,4171.91
199,1492,2025-01-10,pendiente,2589.72
200,1697,2024-09-27,pendiente,3899.29
201,80,2025-07-30,pendiente,2042.2
202,228,2025-05-27,cancelado,2031.95
203,34,2025-09-09,cancelado,4140.33
204,443,2026-01-28,pagado,1701.2
205,1085,2025-03-17,entregado,547.72
206,351,2024-03-22,pagado,3114.36
207,865,2024-07-12,enviado,1561.94
208,965,2024-09-27,entregado,242.19
209,1388,2025-03-16,cancelado,610.99
210,1445,2025-08-27,enviado,2689.66
211,1949,2024-08-24,pendiente,1967.88
212,270,2026-01-15,enviado,2181.99
213,1624,2025-06-04,cancelado,854.51
214,1861,2025-12-05,cancelado,1509.97
215,1260,2026-01-02,enviado,3358.89
216,1778,2026-01-07,enviado,4022.04
217,1931,2025-05-23,enviado,122.54
218,624,2024-09-04,cancelado,1263.43
219,888,2024-10-19,pendiente,693.08
220,1954,2024-08-16,cancelado,1452.02
221,242,2026-02-20,pendiente,415.82
222,174,2025-07-20,pendiente,559.21
223,1357,2025-08-28,enviado,1099.15
224,1100,2024-08-31,cancelado,2372.99
225,831,2025-07-13,pendiente,3385.22
226,1116,2025-01-01,cancelado,1850.63
227,1734,2024-02-25,entregado,925.1
228,1458,2024-01-20,entregado,1245.31
229,1107,2025-05-27,enviado,2395.14
230,1483,2025-07-19,pagado,2217.91
231,1489,2025-10-24,entregado,215.24
232,1271,2025-06-02,cancelado,3160.5
233,521,2024-12-03,pagado,3026.18
234,955,2026-02-23,pendiente,946.55
235,898,2025-12-03,pendiente,3968.99
236,1163,2025-03-13,cancelado,757.71
237,731,2024-12-09,enviado,899.32
238,1159,2024-09-20,entregado,3724.96
239,596,2024-07-18,entregado,566.79
240,343,2025-07-10,pendiente,2045.92
241,919,2025-07-31,enviado,4044.06
242,743,2024-06-01,enviado,3926.17
243,1017,2025-10-12,pendiente,2699.98
244,1517,2024-02-16,pendiente,1730.34
245,1751,2024-08-04,enviado,1442.97
246,1841,2024-12-06,pagado,3259.15
247,1698,2025-02-19,cancelado,2531.72
248,1477,2024-07-23,pendiente,2092.16
249,1812,2025-07-04,entregado,1022.86
250,1560,2025-12-16,entregado,2844.84
251,1522,2026-01-24,pendiente,2048.59
252,499,2024-09-15,enviado,2710.75
253,419,2025-03-16,cancelado,3481.84
254,468,2024-08-05,enviado,697.77
255,1538,2025-06-27,enviado,3004.74
256,1395,2024-05-30,entregado,3431.92
257,532,2025-05-08,enviado,3003.86
258,1606,2025-09-03,entregado,561.99
259,577,2025-09-12,cancelado,3823.83
260,1030,2024-08-21,cancelado,2064.11
261,988,2024-12-07,pendiente,3033.9
262,1120,2024-11-16,pagado,1883.56
263,17,2024-06-02,enviado,3563.77
264,1406,2025-11-27,entregado,1905.11
265,1310,2024-03-18,entregado,1044.04
266,1871,2024-02-15,entregado,3390.57
267,1424,2024-06-29,entregado,3968.6
268,1928,2025-05-29,cancelado,2534.73
269,1594,2025-06-15,pagado,3004.51
270,994,2024-05-20,pagado,618.01
271,1087,2025-03-30,enviado,2941.04
272,1591,2025-11-30,entregado,146.55
273,203,2025-11-26,enviado,154.84
274,1936,2025-09-14,enviado,643.28
275,1423,2025-03-01,cancelado,2063.75
276,1590,2024-07-10,pendiente,341.98
277,1054,2025-11-17,entregado,4059.61
278,1635,2025-10-19,pendiente,1343.74
279,350,2025-05-27,enviado,1892.04
280,1504,2026-02-05,pendiente,3038.83
281,1929,2025-09-16,entregado,186.87
282,1825,2025-09-16,enviado,2332.7
283,220,2025-02-02,pendiente,438.13
284,1885,2025-12-23,pagado,2294.47
285,74,2024-11-19,entregado,3322.14
286,1333,2024-07-05,entregado,852.7
287,252,2025-02-16,pendiente,477.98
288,1157,2025-12-25,cancelado,4097.18
289,876,2024-11-17,pagado,3594.15
290,14,2024-07-26,pendiente,3372.77
291,1486,2025-10-26,entregado,998.57
292,121,2024-10-22,cancelado,985.93
293,888,2024-02-29,enviado,2368.17
294,1083,2025-11-19,pagado,15.56
295,1226,2024-02-28,entregado,1168.33
296,977,2024-02-25,cancelado,4068.76
297,1181,2026-03-01,enviado,1285.34
298,695,2025-06-17,pagado,2520.71
299,1176,2025-07-12,pagado,1048.39
300,1681,2025-09-19,cancelado,1388.59
301,432,2025-02-05,cancelado,2691.7
302,516,2026-03-04,enviado,1330.7
303,1798,2024-04-12,pendiente,1082.39
304,1483,2024-04-19,enviado,2849.05
305,1521,2026-03-05,pendiente,831.65
306,15,2025-12-15,entregado,1652.6
307,515,2025-10-01,cancelado,2326.13
308,1282,2024-05-20,enviado,3468.88
309,1355,2025-02-12,entregado,1187.92
310,1806,2024-02-17,cancelado,2953.08
311,1557,2025-07-03,pagado,2095.68
312,737,2024-01-03,entregado,3771.02
313,389,2025-04-24,enviado,595.2
314,1021,2024-07-02,enviado,4039.92
315,1002,2025-02-11,entregado,3233.29
316,1926,2024-03-03,pendiente,4099.68
317,138,2024-08-27,enviado,2371.94
