id,nombre,categoria_id,precio,stock
1,Lumen Accesorio Max,9,1369.57,200
2,Tacna Teclado Air,5,829.02,364
3,Andes Componente Pro,10,1245.38,278
4,Orion Cámara Pro,11,1266.63,326
5,Andes Gamin Plus,12,1067.33,240
6,Sierra Laptop Ultra,1,771.49,395
7,Tacna Gamin Core,12,1260.16,102
8,Andes Cámara Pro,11,133.48,171
9,Lumen Gamin Plus,12,474.94,321
10,Volta Cámara Plus,11,267.62,298
11,Volta Teclado Max,5,2335.43,29
12,Sierra Componente Pro,10,206.3,323
13,Andes Celulare Core,2,1431.45,237
14,Lumen Accesorio Ultra,9,2021.85,68
15,Sierra Componente Core,10,3048.48,141
16,Andes Componente Air,10,2339.27,369
17,Nexo Cámara Max,11,3585.67,378
18,Nexo Audi One,3,1402.89,246
19,Kairo Teclado Pro,5,732.7,238
20,Orion Cámara Lite,11,380.3,340
21,Lumen Teclado One,5,987.5,32
22,Kairo Monitore Ultra,4,215.93,215
23,Orion Teclado Pro,5,1458.49,34
24,Lumen Almacenamient Lite,6,107.71,244
25,Kairo Rede Lite,7,266.75,32
26,Lumen Teclado One,5,122.06,136
27,Lumen Laptop Pro,1,1442.24,40
28,Orion Rede One,7,4011.95,37
29,Lumen Teclado Ultra,5,1620.52,389
30,Andes Accesorio Ultra,9,2665.24,123
31,Nexo Teclado Pro,5,3208.35,157
32,Sierra Teclado One,5,1965.3,7
33,Kairo Cámara Lite,11,785.99,71
34,Volta Componente Core,10,637.37,352
35,Orion Cámara Max,11,236.63,78
36,Orion Almacenamient Pro,6,1265.07,241
37,Andes Audi Max,3,964.93,24
38,Tacna Impresió Core,8,627.46,208
39,Sierra Audi One,3,617.19,182
40,Lumen Audi Pro,3,659.42,199
41,Kairo Audi Max,3,700.01,80
42,Lumen Componente Lite,10,2399.17,253
43,Sierra Cámara Air,11,416.19,125
44,Lumen Impresió One,8,393.36,372
45,Andes Cámara One,11,2744.21,219
46,Tacna Audi Lite,3,3119.92,220
